"City Name","Number of Sites","Number of Sites That Charge a Fee","Number of Sites that Charge Weekly","Average Cost Amount Weekly","Number of Sites that Charge Monthly","Average Cost Amount Monthly","Number of Sites that Charge Quarterly","Average Cost Amount Quarterly","Number of Sites that Charge Per School Semester","Average Cost Amount Per School Semester","Number of Sites that Charge Annually","Average Cost Amount Annually","Number of Sites that Charge for a Summer Session","Average Cost Amount Summer Session","Number of Sites Offering Financial Assistance","Number of Sites Offering Scholarships","Number of Sites Offering DES Assistance","Number of Sites Offering Multiple Child Discounts","Number of Sites Offering Other Finacial Assistance"
Anthem,8,8,0,,8,325.7500000000000000,0,,0,,0,,0,,6,2,8,2,0
"Apache Junction",1,1,0,,1,160.0000000000000000,0,,0,,0,,0,,1,1,0,0,0
Arivaca,2,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"Arizona Village",2,2,0,,2,1.00000000000000000000,0,,0,,0,,0,,2,2,0,0,0
Avondale,7,4,0,,0,,0,,0,,2,30.0000000000000000,0,,4,4,0,0,2
Bisbee,1,1,0,,0,,0,,0,,1,5.0000000000000000,0,,1,1,0,0,0
Buckeye,1,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"Casas Adobes",21,20,0,,14,292.4285714285714286,0,,0,,0,,0,,8,4,4,0,2
Catalina,4,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"Catalina Foothills",15,13,0,,7,260.0000000000000000,0,,0,,0,,0,,9,9,3,0,2
Chandler,71,55,0,,31,328.3870967741935484,0,,0,,0,,0,,46,39,43,0,6
Coolidge,1,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"Corona de Tucson",5,5,0,,5,304.2000000000000000,0,,0,,0,,0,,3,3,2,0,0
Cottonwood,2,2,1,55.0000000000000000,1,60.0000000000000000,0,,0,,0,,0,,2,2,0,2,0
"Drexel Heights",9,2,0,,2,529.0000000000000000,0,,0,,0,,0,,0,0,0,0,0
"El Mirage",1,1,0,,0,,0,,0,,0,,0,,0,0,1,1,0
Flagstaff,7,3,0,,0,,0,,0,,0,,0,,2,1,1,0,3
"Flowing Wells",16,4,0,,4,185.0000000000000000,0,,0,,0,,0,,1,0,0,0,0
Gilbert,44,39,1,130.0000000000000000,33,316.5636363636363636,0,,0,,0,,0,,30,10,26,1,11
Glendale,55,36,1,110.0000000000000000,27,226.2962962962962963,0,,0,,2,30.0000000000000000,4,287.5000000000000000,30,21,20,2,8
Goodyear,13,9,0,,5,200.4000000000000000,0,,0,,0,,0,,6,6,6,0,1
"Green Valley",2,2,0,,2,240.0000000000000000,0,,0,,0,,0,,0,0,0,0,0
Guadalupe,4,2,0,,2,40.0000000000000000,0,,0,,0,,0,,2,2,0,0,2
Komatke,2,2,0,,2,100.0000000000000000,0,,0,,0,,0,,2,0,0,0,0
"Litchfield Park",1,1,0,,1,125.0000000000000000,0,,0,,0,,0,,0,0,0,0,0
Marana,6,6,2,150.0000000000000000,4,385.0000000000000000,0,,0,,0,,0,,4,0,4,0,0
Maricopa,2,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
Mesa,75,53,0,,47,228.0851063829787234,0,,0,,0,,0,,48,37,41,0,6
Morristown,2,2,0,,2,4.0000000000000000,0,,0,,0,,0,,2,2,0,0,0
"Oro Valley",10,10,0,,6,326.6666666666666667,0,,0,,0,,0,,2,2,2,0,0
"Paradise Valley",3,3,0,,2,225.0000000000000000,0,,0,,1,235.0000000000000000,0,,3,2,3,0,0
Peoria,45,35,0,,29,233.0344827586206897,0,,0,,2,30.0000000000000000,0,,29,4,27,0,2
Phoenix,314,192,2,122.0000000000000000,114,231.6559292035398230,12,97.9166666666666667,0,,15,30.0000000000000000,0,,140,78,83,3,30
"Picture Rocks",2,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
Pinetop-Lakeside,1,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"Queen Creek",4,3,0,,3,50.0000000000000000,0,,0,,0,,0,,3,3,2,0,0
"San Luis",2,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"San Tan Valley",4,4,0,,4,225.0000000000000000,0,,0,,0,,0,,0,0,4,4,0
Scottsdale,65,55,0,,46,207.7704545454545455,0,,0,,0,,0,,32,23,17,0,10
"Sierra Vista",2,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
Somerton,2,2,0,,0,,0,,0,,0,,0,,0,0,0,0,0
"South Tucson",2,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
Surprise,13,12,0,,3,206.6666666666666667,0,,0,,0,,0,,1,0,9,8,0
"Tanque Verde",10,6,0,,4,235.0000000000000000,0,,0,,0,,0,,4,2,2,1,2
Tempe,44,37,0,,31,251.1935483870967742,0,,0,,1,25.0000000000000000,0,,31,29,28,19,19
"Three Points",6,2,0,,2,360.0000000000000000,0,,0,,0,,0,,0,0,0,0,0
Tolleson,3,2,0,,0,,0,,0,,2,30.0000000000000000,0,,2,2,0,0,2
Tubac,1,1,0,,0,,0,,0,,0,,0,,0,0,0,0,0
Tucson,211,148,4,60.0000000000000000,107,265.5373831775700935,1,64.0000000000000000,5,250.0000000000000000,4,105.0000000000000000,2,125.0000000000000000,84,41,51,2,16
Vail,2,2,0,,2,260.0000000000000000,0,,0,,0,,0,,2,2,2,0,2
"Valencia West",1,0,0,,0,,0,,0,,0,,0,,0,0,0,0,0
Yuma,2,1,0,,0,,0,,0,,0,,0,,0,1,1,0,1
