"State Legislaltive District","Number of Sites","Average Site Capacity","Number of Sites at Capacity","Number of Children Served","Average Number of Children Served","Average Number Full-Time Staff","Average Number Part-Time Staff","Average Number Volunteer Staff","Average Number Working Staff"
1,12,48.8000000000000000,6,206,34.3333333333333333,2.6666666666666667,1.8333333333333333,0.00000000000000000000,4.3333333333333333
2,39,96.1388888888888889,12,1306,50.2307692307692308,3.4473684210526316,4.6052631578947368,0.78947368421052631579,6.3157894736842105
3,81,968.0857142857142857,28,1918,39.9583333333333333,5.0394736842105263,5.7297297297297297,1.8243243243243243,8.9736842105263158
4,21,83.4444444444444444,14,190,47.5000000000000000,6.4444444444444444,8.5000000000000000,1.2222222222222222,11.7222222222222222
5,2,125.0000000000000000,0,180,90.0000000000000000,10.0000000000000000,8.0000000000000000,6.0000000000000000,17.0000000000000000
6,17,140.2666666666666667,7,662,73.5555555555555556,2.5625000000000000,8.2500000000000000,7.9090909090909091,9.5000000000000000
7,1,49.0000000000000000,0,10,10.0000000000000000,0.00000000000000000000,2.0000000000000000,1.00000000000000000000,2.0000000000000000
8,3,166.6666666666666667,0,270,90.0000000000000000,3.3333333333333333,7.0000000000000000,1.3333333333333333,10.3333333333333333
9,84,87.5131578947368421,19,2829,44.9047619047619048,2.6625000000000000,4.6625000000000000,0.56250000000000000000,5.7750000000000000
10,79,84.6406250000000000,21,2289,46.7142857142857143,3.2878787878787879,4.8636363636363636,0.93750000000000000000,6.3181818181818182
11,22,88.1111111111111111,4,583,36.4375000000000000,3.0588235294117647,4.2352941176470588,1.0588235294117647,6.3529411764705882
12,45,123.6756756756756757,3,2117,57.2162162162162162,1.8500000000000000,3.0500000000000000,1.5384615384615385,4.2250000000000000
13,15,65.2727272727272727,7,115,28.7500000000000000,3.4444444444444444,3.7777777777777778,2.3333333333333333,7.4444444444444444
14,20,105.0000000000000000,5,882,67.8461538461538462,4.7647058823529412,2.8235294117647059,0.58823529411764705882,7.5882352941176471
15,58,121.0754716981132075,20,2526,70.1666666666666667,2.6122448979591837,4.3921568627450980,0.13043478260869565217,6.1764705882352941
16,23,73.5454545454545455,7,558,34.8750000000000000,0.78571428571428571429,3.4500000000000000,0.25000000000000000000,3.5000000000000000
17,61,109.6470588235294118,16,2379,55.3255813953488372,6.0555555555555556,6.7407407407407407,8.7222222222222222,12.2592592592592593
18,64,123.0392156862745098,16,2530,66.5789473684210526,1.9230769230769231,4.7500000000000000,0.17391304347826086957,6.3846153846153846
19,23,164.2608695652173913,9,1078,77.0000000000000000,7.2608695652173913,4.1739130434782609,0.34782608695652173913,10.5217391304347826
20,52,341.0816326530612245,17,2899,90.5937500000000000,5.4888888888888889,19.0444444444444444,2.7727272727272727,26.3111111111111111
21,38,129.6176470588235294,11,1030,44.7826086956521739,5.0294117647058824,3.1515151515151515,0.94117647058823529412,6.6764705882352941
22,35,162.3200000000000000,7,1159,52.6818181818181818,4.1153846153846154,5.6666666666666667,0.07692307692307692308,6.6296296296296296
23,57,120.1296296296296296,7,4538,92.6122448979591837,3.1489361702127660,6.0200000000000000,1.6888888888888889,7.4117647058823529
24,48,109.2444444444444444,20,1849,68.4814814814814815,5.4473684210526316,3.6744186046511628,3.9250000000000000,6.6595744680851064
25,38,61.4411764705882353,7,948,31.6000000000000000,2.1388888888888889,1.9722222222222222,0.38888888888888888889,3.7500000000000000
26,42,120.2368421052631579,12,2419,80.6333333333333333,5.2432432432432432,4.5945945945945946,2.5405405405405405,9.8378378378378378
27,37,132.7741935483870968,7,1243,51.7916666666666667,2.3125000000000000,3.3437500000000000,6.4285714285714286,4.8484848484848485
28,67,118.4218750000000000,31,2328,59.6923076923076923,4.0333333333333333,8.3333333333333333,1.6071428571428571,10.5833333333333333
29,37,168.1250000000000000,8,2193,84.3461538461538462,2.4375000000000000,5.0312500000000000,0.50000000000000000000,7.2500000000000000
30,51,148.8936170212765957,18,3317,100.5151515151515152,6.2000000000000000,8.5531914893617021,1.5918367346938776,14.2040816326530612
